STT,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
204,Andy Irving,SCO,MF,West Ham United,25-363,2000,1.8,0,0,0,1,0,0,12,1,4,N/a,N/a,0,Matches
205,Alexander Isak,SWE,FW,Liverpool,26-232,1999,7.8,0,0,0,5,1,0,2,0,6,N/a,N/a,0,Matches
206,Wilson Isidor,HAI,FW,Sunderland,25-257,2000,12.5,1,0,0,14,6,10,0,1,6,N/a,N/a,0,Matches
207,Alex Iwobi,NGA,MF,Fulham,30-008,1996,25.1,3,0,0,7,10,1,80,14,17,N/a,N/a,0,Matches
208,Daniel James,WAL,FW,Leeds United,28-182,1997,4.6,0,0,0,1,7,1,42,1,4,N/a,N/a,0,Matches
209,Reece James,ENG,"DF,MF",Chelsea,26-154,1999,21.4,4,0,0,26,21,1,125,32,33,N/a,N/a,0,Matches
210,Vitaly Janelt,GER,MF,Brentford,28-001,1998,14.3,7,0,0,19,12,0,54,26,16,N/a,N/a,0,Matches
211,Mathias Jensen,DEN,MF,Brentford,30-130,1996,23.4,3,0,0,19,12,2,119,21,23,N/a,N/a,0,Matches
212,Gabriel Jesus,BRA,FW,Arsenal,29-038,1997,3.9,2,0,0,6,1,7,0,2,0,N/a,N/a,0,Matches
213,Igor Jesus,BRA,FW,Nottingham Forest,25-075,2001,23.6,2,0,0,41,36,11,9,2,15,N/a,N/a,0,Matches
214,Álex Jiménez,ESP,"DF,MF",Bournemouth,21-003,2005,25.7,10,0,0,35,20,0,51,27,45,N/a,N/a,0,Matches
215,Raúl Jiménez,MEX,FW,Fulham,35-006,1991,23.8,5,0,0,45,33,20,7,7,19,N/a,N/a,0,Matches
216,João Pedro,BRA,"FW,MF",Chelsea,24-227,2001,28.6,4,0,0,36,53,16,18,5,16,N/a,N/a,0,Matches
217,Joelinton,BRA,MF,Newcastle United,29-270,1996,21.7,10,0,0,46,27,1,11,28,23,N/a,N/a,0,Matches
218,John,BRA,GK,Nottingham Forest,30-087,1996,4.9,1,0,0,0,0,0,0,0,0,N/a,N/a,0,Matches
219,Brennan Johnson,WAL,"MF,FW",Tottenham Hotspur,24-353,2001,6.8,2,0,0,2,4,8,23,2,9,N/a,N/a,0,Matches
220,Brennan Johnson,WAL,"MF,FW",Crystal Palace,24-353,2001,11.0,4,0,0,16,10,4,42,2,5,N/a,N/a,0,Matches
221,Sam Johnstone,ENG,GK,Wolves,33-047,1993,12.0,0,0,0,0,0,0,0,0,1,N/a,N/a,1,Matches
222,Curtis Jones,ENG,"MF,DF",Liverpool,25-101,2001,19.5,2,0,0,16,28,0,12,16,20,N/a,N/a,0,Matches
223,Eli Junior Kroupi,FRA,"MF,FW",Bournemouth,19-322,2006,16.9,5,0,0,26,11,5,9,8,6,N/a,N/a,0,Matches
224,James Justin,ENG,"DF,MF",Leeds United,28-077,1998,18.1,4,0,0,11,24,2,33,24,31,N/a,N/a,0,Matches
225,Filip Jørgensen,DEN,GK,Chelsea,24-025,2002,4.2,0,0,0,0,0,0,0,1,0,N/a,N/a,0,Matches
226,Ferdi Kadioglu,TUR,"DF,MF",Brighton,26-216,1999,32.8,6,0,0,21,35,6,105,24,38,N/a,N/a,0,Matches
227,Arnaud Kalimuendo,FRA,FW,Nottingham Forest,24-111,2002,1.1,0,0,0,2,0,1,2,0,1,N/a,N/a,0,Matches
228,Daichi Kamada,JPN,MF,Crystal Palace,29-279,1996,19.5,2,0,0,29,27,1,39,11,33,N/a,N/a,0,Matches
229,Boubacar Kamara,FRA,MF,Aston Villa,26-169,1999,15.7,5,0,0,16,30,0,2,15,16,N/a,N/a,0,Matches
230,Michael Kayode,ITA,DF,Brentford,21-305,2004,34.2,7,0,0,24,48,1,53,39,45,N/a,N/a,1,Matches
231,Michael Keane,ENG,DF,Everton,33-120,1993,26.8,1,1,0,16,6,0,1,34,24,N/a,N/a,0,Matches
232,Caoimhín Kelleher,IRL,GK,Brentford,27-169,1998,35.0,1,0,0,2,6,0,0,1,0,N/a,N/a,0,Matches
233,Milos Kerkez,HUN,DF,Liverpool,22-185,2003,24.0,4,0,0,22,27,4,77,14,26,N/a,N/a,0,Matches
234,Kevin,BRA,MF,Fulham,23-127,2003,10.4,1,0,0,12,16,2,41,9,10,N/a,N/a,0,Matches
235,Abdukodir Khusanov,UZB,DF,Manchester City,22-071,2004,13.9,2,0,0,12,6,0,2,26,19,N/a,N/a,0,Matches
236,Max Kilman,ENG,DF,West Ham United,28-353,1997,17.3,4,0,0,16,2,0,2,6,8,N/a,N/a,0,Matches
237,Joshua King,ENG,MF,Fulham,19-128,2007,14.1,4,0,0,12,27,2,11,3,11,N/a,N/a,0,Matches
238,Antonín Kinský,CZE,GK,Tottenham Hotspur,23-059,2003,4.0,0,0,0,0,1,0,0,0,0,N/a,N/a,0,Matches
239,Justin Kluivert,NED,MF,Bournemouth,27-006,1999,10.2,4,0,0,15,9,1,40,4,7,N/a,N/a,0,Matches
240,Randal Kolo Muani,FRA,"FW,MF",Tottenham Hotspur,27-157,1998,16.5,3,0,0,38,17,3,13,2,15,N/a,N/a,0,Matches
241,Ibrahima Konaté,FRA,DF,Liverpool,26-351,1999,32.4,6,0,0,32,39,0,3,28,30,N/a,N/a,0,Matches
242,Ezri Konsa,ENG,DF,Aston Villa,28-200,1997,32.7,0,1,0,11,41,0,5,22,8,N/a,N/a,0,Matches
243,Charalampos Kostoulas,GRE,FW,Brighton,18-346,2007,3.6,2,0,0,7,7,4,5,1,6,N/a,N/a,0,Matches
244,Ladislav Krejčí,CZE,"DF,MF",Wolves,27-021,1999,24.5,5,1,1,32,7,0,13,30,16,N/a,N/a,1,Matches
245,Mohammed Kudus,GHA,"MF,FW",Tottenham Hotspur,25-282,2000,17.1,3,0,0,23,15,10,122,3,17,N/a,N/a,0,Matches
246,Maxence Lacroix,FRA,DF,Crystal Palace,26-035,2000,32.6,4,1,0,33,18,0,5,43,36,N/a,N/a,0,Matches
247,Senne Lammens,BEL,GK,Manchester Utd,23-308,2002,30.0,0,0,0,0,4,0,0,0,1,N/a,N/a,0,Matches
248,Josh Laurent,ENG,"DF,MF",Burnley,31-005,1995,19.4,7,1,0,29,11,2,14,28,24,N/a,N/a,0,Matches
249,Roméo Lavia,BEL,MF,Chelsea,22-125,2004,4.2,0,0,0,8,8,0,1,5,7,N/a,N/a,0,Matches
250,Enzo Le Fée,FRA,"MF,FW",Sunderland,26-097,2000,30.6,5,0,0,28,34,4,92,26,53,N/a,N/a,0,Matches
251,Bernd Leno,GER,GK,Fulham,34-068,1992,36.0,3,0,0,0,6,0,0,1,1,N/a,N/a,1,Matches
252,Jefferson Lerma,COL,"MF,DF",Crystal Palace,31-198,1994,17.1,6,0,0,23,21,0,11,20,15,N/a,N/a,2,Matches
253,Rico Lewis,ENG,DF,Manchester City,21-171,2004,3.5,1,0,0,4,7,0,2,7,4,N/a,N/a,0,Matches
254,Keane Lewis-Potter,ENG,"DF,MF",Brentford,25-078,2001,19.9,1,0,0,15,34,3,64,8,13,N/a,N/a,0,Matches
255,Myles Lewis-Skelly,ENG,"MF,DF",Arsenal,19-227,2006,6.7,3,0,0,8,11,1,0,4,5,N/a,N/a,0,Matches
256,Matthijs de Ligt,NED,DF,Manchester Utd,26-272,1999,13.0,0,0,0,6,5,0,4,11,13,N/a,N/a,0,Matches
257,Pedro Lima,BRA,MF,Wolves,19-314,2006,2.7,0,0,0,5,1,0,9,4,4,N/a,N/a,0,Matches
258,Victor Lindelöf,SWE,"DF,MF",Aston Villa,31-298,1994,9.2,0,0,0,1,0,0,0,6,3,N/a,N/a,0,Matches
259,Valentino Livramento,ENG,DF,Newcastle United,23-180,2002,14.8,1,0,0,7,16,2,36,2,14,N/a,N/a,0,Matches
260,Sean Longstaff,ENG,MF,Leeds United,28-193,1997,10.9,2,0,0,13,17,1,52,12,23,N/a,N/a,0,Matches
261,Fer López,ESP,MF,Wolves,21-352,2004,2.6,1,0,0,6,4,0,4,0,1,N/a,N/a,0,Matches
262,Lucas,BRA,"MF,DF",Burnley,25-048,2001,13.7,0,1,0,13,3,5,50,15,19,N/a,N/a,0,Matches
263,Lorenzo Lucca,ITA,FW,Nottingham Forest,25-243,2000,1.4,0,0,0,1,2,2,0,1,0,N/a,N/a,0,Matches
264,Florentino Luís,POR,MF,Burnley,26-265,1999,21.5,6,0,0,38,8,1,9,35,43,N/a,N/a,0,Matches
265,Douglas Luiz,BRA,MF,Aston Villa,28-002,1998,5.9,1,0,0,9,9,0,27,6,10,N/a,N/a,0,Matches
266,Douglas Luiz,BRA,MF,Nottingham Forest,28-002,1998,3.5,2,0,0,4,5,0,15,7,3,N/a,N/a,0,Matches
267,Saša Lukić,SRB,MF,Fulham,29-271,1996,18.3,9,0,0,50,23,2,65,14,25,N/a,N/a,0,Matches
268,Ian Maatsen,NED,DF,Aston Villa,24-062,2002,16.8,2,0,0,16,18,1,53,16,29,N/a,N/a,0,Matches
269,Alexis Mac Allister,ARG,MF,Liverpool,27-138,1998,27.5,6,0,0,33,31,0,19,17,25,N/a,N/a,0,Matches
270,Noni Madueke,ENG,"FW,MF",Arsenal,24-062,2002,12.5,0,0,0,15,15,4,77,5,10,N/a,N/a,0,Matches
271,Gabriel Magalhães,BRA,DF,Arsenal,28-143,1997,29.1,4,0,0,18,31,0,6,22,20,N/a,N/a,0,Matches
272,Soungoutou Magassa,FRA,MF,West Ham United,22-215,2003,10.9,4,0,0,17,17,0,9,17,23,N/a,N/a,0,Matches
273,Harry Maguire,ENG,DF,Manchester Utd,33-067,1993,16.4,3,1,0,13,16,0,3,11,14,N/a,N/a,0,Matches
274,Kobbie Mainoo,ENG,MF,Manchester Utd,21-022,2005,16.5,1,0,0,10,18,1,13,16,18,N/a,N/a,0,Matches
275,Donyell Malen,NED,"FW,MF",Aston Villa,27-122,1999,7.3,0,0,0,2,6,1,7,0,2,N/a,N/a,0,Matches
276,Giorgi Mamardashvili,GEO,GK,Liverpool,25-224,2000,8.6,0,0,0,1,2,0,0,1,1,N/a,N/a,0,Matches
277,Reinildo Mandava,MOZ,DF,Sunderland,32-110,1994,19.8,7,1,0,31,33,1,21,29,20,N/a,N/a,0,Matches
278,Mateus Mane,POR,MF,Wolves,18-237,2007,17.9,0,0,0,24,43,1,75,4,12,N/a,N/a,0,Matches
279,Omar Marmoush,EGY,"FW,MF",Manchester City,27-093,1999,6.7,3,0,0,10,19,6,12,2,8,N/a,N/a,0,Matches
280,Gabriel Martinelli,BRA,"FW,MF",Arsenal,24-327,2001,11.0,3,0,0,10,13,5,31,1,8,N/a,N/a,0,Matches
281,Emiliano Martínez,ARG,GK,Aston Villa,33-251,1992,30.5,2,0,0,0,17,0,0,0,0,N/a,N/a,0,Matches
282,Lisandro Martínez,ARG,DF,Manchester Utd,28-113,1998,11.7,0,1,0,9,2,0,2,11,9,N/a,N/a,1,Matches
283,Arthur Masuaku,COD,DF,Sunderland,32-185,1993,1.4,1,0,0,3,0,0,8,2,2,N/a,N/a,0,Matches
284,Pape Matar Sarr,SEN,MF,Tottenham Hotspur,23-239,2002,15.1,2,0,0,27,13,3,7,13,21,N/a,N/a,0,Matches
285,Jean-Philippe Mateta,FRA,FW,Crystal Palace,28-317,1997,23.5,2,0,0,20,18,17,10,6,4,N/a,N/a,0,Matches
286,Konstantinos Mavropanos,GRE,DF,West Ham United,28-151,1997,26.2,2,0,0,12,9,2,3,44,20,N/a,N/a,2,Matches
287,Eliezer Mayenda,ESP,"FW,MF",Sunderland,21-003,2005,8.4,0,0,0,6,11,3,1,1,3,N/a,N/a,0,Matches
288,Ezra Mayers,BRB,DF,West Ham United,19-115,2007,1.3,0,0,0,0,0,0,3,1,0,N/a,N/a,0,Matches
289,Noussair Mazraoui,MAR,"DF,MF",Manchester Utd,28-178,1997,10.1,3,0,0,12,13,0,12,10,15,N/a,N/a,0,Matches
290,Bryan Mbeumo,CMR,"MF,FW",Manchester Utd,26-277,1999,27.3,4,0,0,23,28,7,102,7,11,N/a,N/a,0,Matches
291,James Mcatee,ENG,MF,Nottingham Forest,23-205,2002,3.1,1,0,0,4,5,1,9,3,3,N/a,N/a,0,Matches
292,John McGinn,SCO,MF,Aston Villa,31-205,1994,22.7,4,0,0,29,48,0,78,12,16,N/a,N/a,0,Matches
293,Dwight McNeil,ENG,MF,Everton,26-170,1999,12.9,1,0,0,11,7,2,40,10,16,N/a,N/a,0,Matches
294,Hannibal Mejbri,TUN,MF,Burnley,23-110,2003,12.2,8,0,0,20,42,3,27,7,15,N/a,N/a,0,Matches
295,Mikel Merino,ESP,"MF,FW",Arsenal,29-323,1996,11.2,1,0,0,21,20,3,4,9,13,N/a,N/a,0,Matches
296,Nikola Milenković,SRB,DF,Nottingham Forest,28-211,1997,35.5,6,0,0,20,19,1,2,29,18,N/a,N/a,1,Matches
297,Lewis Miley,ENG,"MF,DF",Newcastle United,20-010,2006,16.6,0,0,0,5,4,2,42,20,18,N/a,N/a,0,Matches
298,James Milner,ENG,MF,Brighton,40-127,1986,8.1,2,0,0,11,3,1,14,5,9,N/a,N/a,0,Matches
299,Veljko Milosavljević,SRB,DF,Bournemouth,18-317,2007,4.1,0,0,0,0,0,0,0,4,4,N/a,N/a,0,Matches
300,Tyrone Mings,ENG,DF,Aston Villa,33-059,1993,13.7,1,0,0,10,8,0,4,10,2,N/a,N/a,0,Matches
301,Yankuba Minteh,GAM,MF,Brighton,21-293,2004,25.1,3,0,0,30,22,10,141,14,36,N/a,N/a,0,Matches
302,Tyrick Mitchell,ENG,MF,Crystal Palace,26-252,1999,33.6,5,0,0,24,26,5,103,32,58,N/a,N/a,0,Matches
303,Kaoru Mitoma,JPN,"MF,FW",Brighton,28-356,1997,19.1,5,0,0,31,21,4,46,8,12,N/a,N/a,0,Matches
304,Morato,BRA,DF,Nottingham Forest,24-315,2001,12.9,5,0,0,14,7,1,2,9,16,N/a,N/a,0,Matches
305,Cristhian Mosquera,ESP,DF,Arsenal,21-318,2004,9.0,4,0,0,15,5,1,1,8,19,N/a,N/a,0,Matches
306,Yerson Mosquera,COL,DF,Wolves,25-009,2001,21.7,11,0,0,28,40,1,18,22,33,N/a,N/a,2,Matches
307,Mason Mount,ENG,MF,Manchester Utd,27-121,1999,10.4,2,0,0,17,9,0,19,7,10,N/a,N/a,0,Matches
308,Nordi Mukiele,FRA,DF,Sunderland,28-191,1997,28.9,5,0,0,29,23,3,79,33,44,N/a,N/a,1,Matches
309,Romaine Mundle,ENG,MF,Sunderland,23-017,2003,4.6,1,0,0,7,8,0,11,1,4,N/a,N/a,0,Matches
310,Marshall Munetsi,ZIM,"MF,FW",Wolves,29-323,1996,9.7,2,0,0,19,10,4,14,5,13,N/a,N/a,0,Matches
311,Rodrigo Muniz,BRA,FW,Fulham,25-007,2001,9.6,2,0,0,17,15,5,2,2,3,N/a,N/a,1,Matches
312,Daniel Muñoz,COL,MF,Crystal Palace,29-350,1996,24.3,7,0,0,33,18,6,59,22,45,N/a,N/a,0,Matches
313,Murillo,BRA,DF,Nottingham Forest,23-311,2002,23.7,5,0,0,23,7,0,2,29,23,N/a,N/a,2,Matches
314,Jacob Murphy,ENG,"FW,MF",Newcastle United,31-076,1995,17.3,2,0,0,9,12,5,120,4,11,N/a,N/a,0,Matches
315,Vitaliy Mykolenko,UKR,DF,Everton,26-347,1999,30.9,6,0,0,28,26,0,88,27,24,N/a,N/a,1,Matches
316,David Møller Wolfe,NOR,"MF,DF",Wolves,24-018,2002,9.9,1,0,0,7,4,0,27,6,5,N/a,N/a,0,Matches
317,Iliman Ndiaye,SEN,MF,Everton,26-066,2000,28.9,2,0,0,29,36,12,51,17,38,N/a,N/a,0,Matches
318,Dan Ndoye,SUI,MF,Nottingham Forest,25-198,2000,13.0,1,0,0,16,22,9,41,10,11,N/a,N/a,0,Matches
319,Reiss Nelson,ENG,"FW,MF",Brentford,26-152,1999,1.4,0,0,0,0,2,0,2,0,3,N/a,N/a,0,Matches
320,Pedro Neto,POR,MF,Chelsea,26-063,2000,27.5,4,1,1,16,23,6,178,6,10,N/a,N/a,0,Matches
321,Luca Netz,GER,"MF,DF",Nottingham Forest,22-361,2003,2.7,0,0,0,5,2,0,2,0,8,N/a,N/a,0,Matches
322,Rio Ngumoha,ENG,MF,Liverpool,17-255,2008,4.4,0,0,0,3,8,0,15,3,1,N/a,N/a,0,Matches
323,Eddie Nketiah,ENG,MF,Crystal Palace,26-346,1999,4.7,2,0,0,7,7,3,0,2,6,N/a,N/a,0,Matches
324,Lukas Nmecha,GER,FW,Leeds United,27-148,1998,10.4,0,0,0,16,14,2,8,3,5,N/a,N/a,0,Matches
325,Matheus Nunes,POR,DF,Manchester City,27-257,1998,30.2,5,0,0,17,29,4,63,28,41,N/a,N/a,0,Matches
326,Ethan Nwaneri,ENG,MF,Arsenal,19-051,2007,1.9,0,0,0,2,0,0,2,0,0,N/a,N/a,0,Matches
327,Jake O'Brien,IRL,DF,Everton,24-361,2001,33.0,4,1,0,20,15,4,47,13,30,N/a,N/a,0,Matches
328,Luke O'Nien,ENG,DF,Sunderland,31-171,1994,4.6,1,1,0,5,6,0,7,5,4,N/a,N/a,0,Matches
329,Matt O'Riley,DEN,MF,Brighton,25-171,2000,2.3,0,0,0,2,1,1,6,0,2,N/a,N/a,0,Matches
330,Wilson Odobert,FRA,"MF,FW",Tottenham Hotspur,21-164,2004,10.9,0,0,0,2,10,2,28,0,8,N/a,N/a,0,Matches
331,Noah Okafor,SUI,"FW,MF",Leeds United,25-352,2000,17.3,3,0,0,18,14,0,36,12,15,N/a,N/a,0,Matches
332,Amadou Onana,BEL,MF,Aston Villa,24-268,2001,19.3,3,0,0,20,25,0,0,19,29,N/a,N/a,0,Matches
333,Stefan Ortega,GER,GK,Nottingham Forest,33-186,1992,3.0,0,0,0,0,0,0,0,0,0,N/a,N/a,0,Matches
334,William Osula,DEN,FW,Newcastle United,22-280,2003,7.4,0,0,0,23,13,1,3,1,3,N/a,N/a,0,Matches
335,Dango Ouattara,BFA,MF,Brentford,24-089,2002,23.3,5,0,0,27,37,8,102,23,13,N/a,N/a,0,Matches
336,Nico O’Reilly,ENG,"DF,MF",Manchester City,21-051,2005,28.4,5,0,0,44,18,1,37,20,36,N/a,N/a,0,Matches
337,Pablo,BRA,"MF,FW",West Ham United,22-129,2004,8.3,0,0,0,21,6,0,2,5,12,N/a,N/a,0,Matches
338,João Palhinha,POR,"MF,DF",Tottenham Hotspur,30-306,1995,21.7,6,0,0,23,29,0,4,23,55,N/a,N/a,0,Matches
339,Cole Palmer,ENG,MF,Chelsea,24-005,2002,19.7,4,0,0,13,33,2,33,13,11,N/a,N/a,0,Matches
340,Lucas Paquetá,BRA,"MF,FW",West Ham United,28-257,1997,16.8,7,1,1,27,30,5,36,7,22,N/a,N/a,0,Matches
341,Nathan Patterson,SCO,DF,Everton,24-207,2001,2.7,0,0,0,2,2,1,6,2,4,N/a,N/a,0,Matches
342,Lucas Perri,BRA,GK,Leeds United,28-152,1997,16.0,2,0,0,1,3,0,0,0,0,N/a,N/a,0,Matches
343,Đorđe Petrović,SRB,GK,Bournemouth,26-215,1999,36.0,3,0,0,0,2,0,0,0,0,N/a,N/a,1,Matches
344,Jordan Pickford,ENG,GK,Everton,32-065,1994,36.0,4,0,0,1,6,0,0,0,1,N/a,N/a,0,Matches
345,Ethan Pinnock,JAM,DF,Brentford,32-347,1993,3.5,1,0,0,0,2,0,0,5,5,N/a,N/a,1,Matches
346,Yeremi Pino,ESP,"MF,FW",Crystal Palace,23-203,2002,21.5,4,0,0,29,22,10,74,7,19,N/a,N/a,0,Matches
347,Joël Piroe,SUR,FW,Leeds United,26-282,1999,2.5,0,0,0,3,0,1,4,1,1,N/a,N/a,0,Matches
348,Nick Pope,ENG,GK,Newcastle United,34-022,1992,24.8,2,0,0,1,2,0,0,0,1,N/a,N/a,0,Matches
349,Pedro Porro,ESP,DF,Tottenham Hotspur,26-240,1999,28.1,8,0,0,28,24,1,208,26,43,N/a,N/a,0,Matches
350,Freddie Potts,ENG,MF,West Ham United,22-241,2003,13.0,1,0,0,15,14,0,34,16,18,N/a,N/a,0,Matches
351,Aaron Ramsdale,ENG,GK,Newcastle United,27-362,1998,11.2,2,0,0,0,1,0,0,0,0,N/a,N/a,0,Matches
352,Jacob Ramsey,ENG,MF,Newcastle United,24-348,2001,14.1,5,1,1,15,13,2,8,9,12,N/a,N/a,0,Matches
353,David Raya,ESP,GK,Arsenal,30-238,1995,36.0,1,0,0,0,13,0,1,1,1,N/a,N/a,0,Matches
354,Rayan,BRA,MF,Bournemouth,19-281,2006,10.6,1,0,0,7,5,1,21,6,6,N/a,N/a,0,Matches
355,Tijjani Reijnders,NED,MF,Manchester City,27-286,1998,17.3,2,0,0,18,15,4,38,11,4,N/a,N/a,0,Matches
356,Chadi Riad,MAR,DF,Crystal Palace,22-328,2003,4.3,2,0,0,4,3,0,6,1,3,N/a,N/a,0,Matches
357,Declan Rice,ENG,MF,Arsenal,27-117,1999,33.4,3,0,0,26,10,1,173,32,31,N/a,N/a,0,Matches
358,Chris Richards,USA,DF,Crystal Palace,26-044,2000,30.1,3,0,0,15,4,0,14,42,33,N/a,N/a,0,Matches
359,Richarlison,BRA,"FW,MF",Tottenham Hotspur,29-001,1997,19.0,5,0,0,21,30,8,16,7,15,N/a,N/a,0,Matches
360,Chris Rigg,ENG,MF,Sunderland,18-327,2007,8.3,1,0,0,8,8,2,10,3,8,N/a,N/a,0,Matches
361,Andrew Robertson,SCO,DF,Liverpool,32-061,1994,12.2,0,0,0,4,1,5,48,6,10,N/a,N/a,0,Matches
362,Antonee Robinson,USA,"DF,MF",Fulham,28-276,1997,14.6,4,0,0,14,7,2,71,23,27,N/a,N/a,0,Matches
363,Joe Rodon,WAL,DF,Leeds United,28-201,1997,29.8,2,0,0,14,18,1,5,28,17,N/a,N/a,0,Matches
364,Rodri,ESP,MF,Manchester City,29-323,1996,15.8,2,0,0,13,27,0,4,11,23,N/a,N/a,0,Matches
365,Guido Rodríguez,ARG,MF,West Ham United,32-029,1994,2.0,1,0,0,2,4,0,2,2,0,N/a,N/a,0,Matches
366,Robin Roefs,NED,GK,Sunderland,23-114,2003,33.0,4,0,0,0,13,0,0,0,0,N/a,N/a,0,Matches
367,Morgan Rogers,ENG,MF,Aston Villa,23-289,2002,35.4,7,0,0,45,49,3,48,13,22,N/a,N/a,0,Matches
368,Merlin Röhl,GER,MF,Everton,23-310,2002,5.9,0,0,0,15,4,2,4,3,10,N/a,N/a,0,Matches
369,Cristian Romero,ARG,DF,Tottenham Hotspur,28-014,1998,20.8,11,2,1,32,16,1,1,31,30,N/a,N/a,0,Matches
370,Georginio Rutter,FRA,"MF,FW",Brighton,24-021,2002,19.4,2,0,0,29,33,10,20,10,18,N/a,N/a,1,Matches
371,José Sá,POR,GK,Wolves,33-114,1993,21.0,2,0,0,0,6,0,0,0,0,N/a,N/a,0,Matches
372,Noah Sadiki,COD,MF,Sunderland,21-145,2004,30.3,8,0,0,29,37,1,18,33,25,N/a,N/a,0,Matches
373,Bukayo Saka,ENG,"FW,MF",Arsenal,24-248,2001,23.7,2,0,0,31,51,14,119,15,15,N/a,N/a,0,Matches
374,Mohamed Salah,EGY,MF,Liverpool,33-330,1992,22.8,1,0,0,10,16,14,107,3,12,N/a,N/a,0,Matches
375,William Saliba,FRA,DF,Arsenal,25-048,2001,28.0,2,0,0,22,16,1,9,15,23,N/a,N/a,0,Matches
376,Robert Sánchez,ESP,GK,Chelsea,28-174,1997,31.8,3,1,0,2,12,0,0,1,0,N/a,N/a,0,Matches
377,Jadon Sancho,ENG,MF,Aston Villa,26-047,2000,9.7,0,0,0,3,2,3,23,2,2,N/a,N/a,0,Matches
378,Ibrahim Sangaré,CIV,MF,Nottingham Forest,28-160,1997,22.1,5,0,0,39,18,0,8,18,30,N/a,N/a,0,Matches
379,Andrey Santos,BRA,MF,Chelsea,22-008,2004,13.0,4,0,0,12,21,1,2,18,16,N/a,N/a,0,Matches
380,Ismaila Sarr,SEN,MF,Crystal Palace,28-075,1998,22.3,2,0,0,12,40,14,21,7,9,N/a,N/a,0,Matches
381,Sávio,BRA,MF,Manchester City,22-031,2004,6.9,2,0,0,8,10,4,32,5,4,N/a,N/a,0,Matches
382,Nicolò Savona,ITA,DF,Nottingham Forest,23-053,2003,11.4,2,0,0,12,5,1,27,5,12,N/a,N/a,0,Matches
383,Oliver Scarles,ENG,"DF,MF",West Ham United,20-150,2005,7.3,2,0,0,7,7,1,35,13,19,N/a,N/a,0,Matches
384,Kevin Schade,GER,"MF,FW",Brentford,24-165,2001,29.2,6,1,0,46,42,10,23,19,26,N/a,N/a,0,Matches
385,Fabian Schär,SUI,DF,Newcastle United,34-142,1991,12.1,1,0,0,15,7,1,4,16,9,N/a,N/a,0,Matches
386,Alex Scott,ENG,MF,Bournemouth,22-263,2003,30.7,5,0,0,45,60,1,84,35,37,N/a,N/a,0,Matches
387,Jenson Seelt,NED,DF,Sunderland,22-353,2003,1.5,0,0,0,1,1,0,1,0,0,N/a,N/a,0,Matches
388,Matz Sels,BEL,GK,Nottingham Forest,34-074,1992,27.6,2,0,0,0,4,0,0,0,1,N/a,N/a,0,Matches
389,Antoine Semenyo,GHA,MF,Bournemouth,26-124,2000,20.0,6,0,0,37,14,12,28,6,20,N/a,N/a,0,Matches
390,Antoine Semenyo,GHA,"MF,FW",Manchester City,26-124,2000,13.3,1,0,0,15,7,6,19,5,11,N/a,N/a,0,Matches
391,Marcos Senesi,ARG,DF,Bournemouth,29-001,1997,34.5,8,0,0,35,36,1,27,49,31,N/a,N/a,0,Matches
392,Benjamin Šeško,SVN,FW,Manchester Utd,22-345,2003,18.3,2,0,0,17,6,7,2,3,3,N/a,N/a,0,Matches
393,Ryan Sessegnon,ENG,"DF,MF",Fulham,25-358,2000,20.3,0,0,0,33,3,4,55,23,29,N/a,N/a,0,Matches
394,Luke Shaw,ENG,DF,Manchester Utd,30-303,1995,33.9,8,0,0,44,19,0,54,40,43,N/a,N/a,0,Matches
395,Bernardo Silva,POR,MF,Manchester City,31-274,1994,29.8,10,0,0,35,22,5,66,18,25,N/a,N/a,0,Matches
396,Xavi Simons,NED,"MF,FW",Tottenham Hotspur,23-020,2003,19.5,5,1,0,21,44,0,51,15,20,N/a,N/a,0,Matches
397,Adam Smith,ENG,DF,Bournemouth,35-012,1991,10.0,3,0,0,15,8,0,11,7,11,N/a,N/a,0,Matches
398,Emile Smith Rowe,ENG,MF,Fulham,25-287,2000,19.7,1,0,0,9,13,3,11,22,19,N/a,N/a,0,Matches
399,Dominic Solanke,ENG,FW,Tottenham Hotspur,28-239,1997,11.1,1,0,0,12,9,3,2,3,16,N/a,N/a,0,Matches
400,Oliver Sonne,PER,DF,Burnley,25-182,2000,1.9,0,0,0,4,0,0,5,1,1,N/a,N/a,0,Matches
401,Borna Sosa,CRO,"DF,MF",Crystal Palace,28-110,1998,1.1,1,0,0,4,0,0,6,2,0,N/a,N/a,0,Matches
402,Tomáš Souček,CZE,MF,West Ham United,31-073,1995,22.8,2,1,0,36,20,5,13,16,22,N/a,N/a,0,Matches
403,Souza,BRA,MF,Tottenham Hotspur,19-329,2006,1.6,1,0,0,3,2,0,3,2,0,N/a,N/a,0,Matches
404,Djed Spence,ENG,"DF,MF",Tottenham Hotspur,25-275,2000,21.5,4,0,0,25,18,4,45,15,24,N/a,N/a,0,Matches
405,Anton Stach,GER,MF,Leeds United,27-177,1998,24.5,3,0,0,32,22,0,140,19,33,N/a,N/a,0,Matches
406,John Stones,ENG,DF,Manchester City,31-348,1994,3.9,0,0,0,0,0,0,4,2,0,N/a,N/a,0,Matches
